Age,Gender,Education,Income,SEC_1,SEC_2,SEC_3,SEC_4,WEB_1,WEB_2,WEB_3,WEB_4,REP_1,REP_2,REP_3,REP_4,REP_5,PRC_1,PRC_2,PRC_3,PRC_4,PRC_5,ATT_1,ATT_2,ATT_3,ATT_4
18-34,Female,Bachelor's level,Below Rs.10000,2,3,4,5,4,3,4,4,4,4,4,4,4,3,3,4,2,4,4,3,3,2
18-34,Male,Bachelor's level,Rs.30001-Rs.40000,2,2,4,5,4,4,4,4,1,5,4,1,4,3,4,3,4,5,4,4,3,3
18-34,Male,Bachelor's level,Rs.20001- Rs.30000,4,3,3,5,4,4,5,5,5,3,5,5,5,3,5,5,5,3,4,4,3,3
18-34,Male,Bachelor's level,Rs.10001-Rs.20000,3,5,5,4,4,5,5,3,4,4,4,3,4,2,2,3,2,5,4,4,3,4
18-34,Male,Higher Secondary,Below Rs.10000,3,2,4,5,4,4,4,4,3,4,4,2,3,4,4,4,3,4,4,3,3,3
18-34,Female,Bachelor's level,Rs.10001-Rs.20000,5,4,5,5,5,5,5,4,2,4,4,2,3,3,3,4,3,5,4,4,2,2
18-34,Female,Bachelor's level,Below Rs.10000,3,3,3,3,3,3,2,4,3,4,3,3,3,3,3,3,3,3,3,4,2,3
18-34,Male,Bachelor's level,Below Rs.10000,3,1,3,5,4,4,4,2,2,3,2,2,3,1,2,2,2,5,3,4,3,3
18-34,Female,Bachelor's level,Below Rs.10000,4,3,4,4,4,4,5,5,4,5,5,5,5,2,2,4,2,5,4,4,4,5
18-34,Female,Bachelor's level,Below Rs.10000,1,3,4,5,3,1,4,1,1,3,4,3,1,1,1,4,4,1,3,3,3,3
18-34,Female,Master's level,Rs.10001-Rs.20000,4,5,4,5,5,5,5,5,5,5,4,4,4,4,3,3,2,5,4,4,3,4
18-34,Female,Master's level,Rs.20001- Rs.30000,3,5,5,5,5,5,5,4,4,5,5,3,5,1,1,4,3,5,4,4,2,3
18-34,Male,Master's level,Below Rs.10000,3,2,4,5,5,5,4,4,4,5,4,5,4,4,4,3,4,3,4,3,4,4
18-34,Female,Bachelor's level,Below Rs.10000,4,4,5,5,4,5,5,4,4,4,3,1,2,1,2,4,4,3,4,4,4,4
